Frame;Winkel
0;77
1;65
2;64
3;64
4;65
5;75
6;82
7;95
8;101
9;113
10;126
11;140
12;152
13;158
14;158
15;145
16;136
17;129
18;126
19;104
20;89
21;81
22;68
23;64
24;65
25;66
26;73
27;78
28;92
29;104
30;109
31;121
32;136
33;150
34;160
35;161
36;150
37;135
38;129
39;125
40;109
41;95
42;86
43;73
44;63
45;67
46;65
47;70
48;82
49;89
50;100
51;107
52;120
53;141
54;146
55;156
56;157
57;152
58;145
59;133
60;128
61;115
62;101
63;90
64;77
65;70
66;67
67;65
68;72
69;77
70;85
71;94
72;107
73;115
74;131
75;148
76;157
77;160
78;156
79;142
80;134
81;129
82;114
83;101
84;86
85;79
86;67
87;68
88;66
89;69
90;80
91;88
92;99
93;106
94;118
95;125
96;143
97;155
98;157
99;151
100;145
101;133
102;129
103;118
104;101
105;90
106;79
107;73
108;67
109;67
110;69
111;79
112;93
113;100
114;106
115;117
116;132
117;141
118;151
119;154
120;151
121;138
122;131
123;127
124;109
125;100
126;87
127;72
128;65
129;66
130;65
131;72
132;85
133;93
134;103
135;115
136;121
137;140
138;145
139;155
140;154
141;140
142;132
143;128
144;122
145;101
146;90
147;77
148;67
149;67
150;67
151;71
152;78
153;90
154;103
155;109
156;118
157;140
158;150
159;157
160;149
161;144
162;133
163;126
164;107
165;97
166;83
167;75
168;63
169;66
170;66
171;73
172;86
173;97
174;106
175;112
176;126
177;144
178;153
179;155
180;148
181;138
182;127
183;126
184;107
185;99
186;81
187;75
188;70
189;68
190;69
191;78
192;91
193;103
194;111
195;122
196;132
197;147
198;156
199;155
200;145
201;133
202;127
203;117
204;101
205;93
206;78
207;66
208;66
209;65
210;67
211;80
212;93
213;104
214;111
215;124
216;139
217;151
218;156
219;155
220;141
221;129
222;127
223;112
224;102
225;89
226;78
227;65
228;65
229;67
230;73
231;78
232;92
233;103
234;109
235;123
236;142
237;155
238;157
239;156
240;140
241;129
242;124
243;111
244;99
245;78
246;73
247;64
248;66
249;66
250;77
251;92
252;99
253;104
254;119
255;137
256;149
257;154
258;155
259;140
260;131
261;126
262;126
263;105
264;87
265;77
266;66
267;65
268;65
269;71
270;78
271;92
272;103
273;120
274;124
275;142
276;148
277;155
278;149
279;134
280;128
281;128
282;115
283;99
284;88
285;72
286;64
287;64
288;68
289;77
290;86
291;97
292;108
293;123
294;138
295;152
296;159
297;157
298;141
299;128
300;126
301;111
302;97
303;77
304;70
305;63
306;65
307;68
308;81
309;95
310;102
311;113
312;122
313;137
314;150
315;154
316;152
317;139
318;131
319;129
320;110
321;88
322;79
323;69
324;64
325;64
326;68
327;75
328;88
329;101
330;114
331;119
332;139
333;145
334;154
335;154
336;137
337;128
338;124
339;105
340;97
341;79
342;67
343;64
344;65
345;70
346;83
347;93
348;104
349;116
350;122
351;141
352;156
353;156
354;149
355;135
356;124
357;121
358;103
359;88
360;76
361;63
362;63
363;66
364;74
365;89
366;100
367;110
368;119
369;132
370;152
371;164
372;162
373;146
374;133
375;127
376;118
377;97
378;93
379;78
380;66
381;70
382;70
383;79
384;90
385;100
386;109
387;127
388;143
389;157
390;161
391;152
392;138
393;127
394;124
395;106
396;91
397;83
398;69
399;67
400;67
401;74
402;89
403;100
404;108
405;121
406;131
407;151
408;162
409;151
410;138
411;131
412;122
413;113
414;95
415;78
416;72
417;69
418;69
419;71
420;85
421;98
422;105
423;118
424;139
425;146
426;157
427;160
428;146
429;132
430;122
431;112
432;94
433;83
434;72
435;69
436;68
437;69
438;81
439;96
440;102
441;115
442;121
443;141
444;154
445;154
446;146
447;134
448;125
449;119
450;98
451;83
452;74
453;69
454;66
455;67
456;75
457;83
458;95
459;106
460;121
461;135
462;151
463;153
464;153
465;137
466;127
467;121
468;103
469;95
470;80
471;74
472;65
473;66
474;71
475;84
476;93
477;104
478;111
479;125
480;143
481;155
482;156
483;146
484;136
485;127
486;120
487;100
488;85
489;72
490;65
491;65
492;66
493;76
494;86
495;96
496;109
497;119
498;139
499;156
500;159
501;153
502;139
503;128
504;123
505;103
506;95
507;77
508;63
509;64
510;64
511;71
512;79
513;95
514;106
515;118
516;140
517;147
518;156
519;156
520;141
521;128
522;128
523;111
524;94
525;76
526;69
527;64
528;65
