var,type,effect,ci_lo,ci_hi,n1,n0,abs_effect
Gefühl Sitzposition_Etwas schlechter,binary,-6.255728905213246,-9.296199890094641,-0.20857371197348584,12.0,13.0,6.255728905213246
Form der Fahrradnutzung_Gelegentlich/Kein regelmäßiges Fahren,binary,5.397786872928904,-1.5537084426001968,8.49398715913901,4.0,21.0,5.397786872928904
Fahrradtyp_Gravelbike,binary,-4.238546845699787,-7.567502165001898,0.9977886841047336,4.0,21.0,4.238546845699787
Methode bekannt_Hüfte,binary,4.184167353956781,-1.678563778322797,,3.0,22.0,4.184167353956781
Gefühl Sitzposition_Kein Unterschied,binary,3.739408094748242,-1.2963366973691564,9.072594858243363,11.0,14.0,3.739408094748242
Methode bekannt_Kniewinkel,binary,-2.782172709596594,-8.029052696855345,2.961266816598396,11.0,14.0,2.782172709596594
Fahrradtyp_Rennard,binary,-2.5111850341194355,-8.829345991225154,3.0724965422070625,6.0,19.0,2.5111850341194355
Form der Fahrradnutzung_Beides,binary,-2.4986510195067666,-7.849965478532781,3.85086129787706,7.0,18.0,2.4986510195067666
Methode bekannt_keine,binary,2.375526957733342,-4.08345389879112,8.573874998496976,6.0,19.0,2.375526957733342
Nutzung Methode_Augenmaß / Gefühl,binary,1.4044344359679855,-6.944716717610618,5.146255980893287,20.0,5.0,1.4044344359679855
Nutzung Methode_Fersenmethode,binary,-1.345134730626711,-6.9479940821476305,3.8736237400607934,10.0,15.0,1.345134730626711
Methode bekannt_Fersenmethode,binary,-1.345134730626711,-6.9479940821476305,3.8736237400607934,10.0,15.0,1.345134730626711
Methode bekannt_Formeln / Berechnung nach Beinlänge,binary,-1.2446587572520542,-7.583607365963459,4.2576035139675525,7.0,18.0,1.2446587572520542
Form der Fahrradnutzung_Sport / Training,binary,-1.147062690736945,-5.235401558016449,7.844715967613382,5.0,20.0,1.147062690736945
Fahrradtyp_Moutainbike,binary,1.0213869408054705,-4.565315260031113,6.046496686331778,10.0,15.0,1.0213869408054705
Fahrradtyp_City/Commuter,binary,0.8619766722784874,-5.578692150379823,5.3358875759377185,12.0,13.0,0.8619766722784874
Form der Fahrradnutzung_Reines Fortbewegungsmittel,binary,0.8619766722784874,-5.752435151037446,5.948900619816669,10.0,15.0,0.8619766722784874
Geschlecht_weiblich,binary,0.8619766722784874,-4.304042939392502,8.52441845833144,6.0,19.0,0.8619766722784874
Geschlecht_männlich,binary,-0.8619766722784874,-8.52441845833144,4.304923781457418,19.0,6.0,0.8619766722784874
km/Woche_Code,continuous,-0.40375414912459207,-0.7295054527754059,0.004138377681063914,,,0.40375414912459207
Häufigkeit / Woche,continuous,-0.38958694882218714,-0.6767610578925497,-0.03818957306556777,,,0.38958694882218714
Längerer Zeitraum,continuous,0.38674101849249887,0.019953570181509978,0.6750261514006295,,,0.38674101849249887
Veränderungsimpuls,continuous,-0.30448314264034304,-0.5936075242613529,0.0942971747349642,,,0.30448314264034304
Zuverlässigkeit,continuous,0.28301317745416493,-0.13941989898556253,0.6275838002992986,,,0.28301317745416493
n_Methods_known,continuous,-0.20946384745638666,-0.5652817413811919,0.20628881870681576,,,0.20946384745638666
n_Methods_used,continuous,-0.1455472846409888,-0.517921664894013,0.2462615458439393,,,0.1455472846409888
Dauer Satteleinst.,continuous,-0.12487980773869133,-0.512668740312444,0.27500778932307096,,,0.12487980773869133
Professionelles Bikefitting_Ja [Jahr],continuous,0.11322770341445956,0.0,,,,0.11322770341445956
Dauer aktives Radfahren,continuous,-0.1123778305839402,-0.5065733684776036,0.30804962787482204,,,0.1123778305839402
Sitzhoehe_rel,continuous,-0.04923076923076923,-0.4294549671434093,0.3413312693498452,,,0.04923076923076923
Ben. Zeit,continuous,-0.03538461538461538,-0.4041069352963967,0.3413312693498452,,,0.03538461538461538
