Frame;Winkel
0;116
1;112
2;100
3;92
4;83
5;77
6;74
7;82
8;84
9;85
10;94
11;101
12;109
13;122
14;127
15;143
16;146
17;143
18;142
19;134
20;126
21;120
22;112
23;108
24;93
25;85
26;77
27;77
28;81
29;84
30;84
31;94
32;101
33;105
34;120
35;131
36;141
37;145
38;144
39;140
40;132
41;129
42;121
43;119
44;109
45;100
46;89
47;82
48;79
49;76
50;81
51;86
52;90
53;97
54;104
55;113
56;123
57;134
58;142
59;145
60;144
61;143
62;139
63;131
64;123
65;118
66;106
67;97
68;87
69;81
70;81
71;78
72;84
73;87
74;94
75;98
76;106
77;119
78;122
79;132
80;142
81;140
82;141
83;141
84;132
85;123
86;124
87;111
88;101
89;92
90;88
91;75
92;77
93;75
94;81
95;88
96;93
97;97
98;111
99;122
100;129
101;147
102;147
103;144
104;140
105;138
106;131
107;123
108;122
109;119
110;100
111;89
112;81
113;76
114;73
115;78
116;83
117;92
118;96
119;100
120;106
121;118
122;127
123;143
124;145
125;148
126;140
127;133
128;129
129;126
130;124
131;109
132;98
133;87
134;81
135;76
136;78
137;82
138;88
139;92
140;101
141;106
142;120
143;125
144;139
145;147
146;146
147;143
148;133
149;131
150;125
151;123
152;104
153;94
154;84
155;78
156;77
157;79
158;83
159;88
160;91
161;100
162;113
163;119
164;127
165;139
166;143
167;140
168;134
169;126
170;121
171;118
172;115
173;101
174;90
175;83
176;76
177;78
178;80
179;89
180;93
181;98
182;103
183;117
184;123
185;136
186;142
187;143
188;140
189;132
190;124
191;119
192;117
193;102
194;93
195;85
196;78
197;79
198;80
199;85
200;94
201;98
202;103
203;119
204;128
205;134
206;140
207;141
208;139
209;130
210;122
211;119
212;116
213;102
214;93
215;86
216;79
217;77
218;80
219;84
220;93
221;98
222;103
223;116
224;122
225;134
226;142
227;143
228;138
229;131
230;128
231;122
232;117
233;101
234;92
235;84
236;78
237;77
238;82
239;84
240;88
241;95
242;102
243;111
244;122
245;130
246;141
247;141
248;140
249;138
250;129
251;122
252;119
253;111
254;98
255;90
256;84
257;79
258;79
259;83
260;85
261;91
262;97
263;104
264;115
265;123
266;131
267;143
268;142
269;139
270;131
271;127
272;122
273;118
274;108
275;98
276;87
277;83
278;79
279;77
280;82
281;87
282;92
283;101
284;104
285;117
286;125
287;141
288;141
289;142
290;134
291;130
292;123
293;118
294;113
295;99
296;88
297;78
298;77
299;78
300;82
301;84
302;92
303;103
304;105
305;117
306;121
307;133
308;143
309;141
310;136
311;127
312;124
313;116
314;111
315;96
316;87
317;80
318;78
319;74
320;81
321;90
322;96
323;101
324;114
325;123
326;127
327;142
328;143
329;138
330;129
331;126
332;123
333;122
334;103
335;90
336;78
337;75
338;84
339;84
340;91
341;97
342;105
343;119
344;125
345;143
346;144
347;138
348;129
349;124
350;120
351;111
352;93
353;87
354;78
355;75
356;79
357;82
358;89
359;99
360;105
361;116
362;129
363;139
364;143
365;138
366;130
367;121
368;119
369;111
370;103
371;90
372;79
373;79
374;80
375;83
376;91
377;101
378;104
379;118
380;126
381;144
382;145
383;139
384;129
385;125
386;118
387;108
388;91
389;84
390;77
391;77
392;82
393;83
394;88
395;97
396;104
397;115
398;123
399;135
400;142
401;135
402;131
403;124
404;121
405;116
406;102
407;89
408;85
409;79
410;81
411;82
412;84
413;92
414;100
415;114
416;120
417;125
418;136
419;140
420;141
421;130
422;124
423;119
424;116
425;110
426;98
427;87
428;78
429;78
430;78
431;83
432;89
433;95
434;101
435;118
436;123
437;138
438;142
439;141
440;137
441;129
442;121
443;119
444;111
445;103
446;91
447;83
448;80
449;80
450;84
451;87
452;93
453;100
454;111
455;122
456;127
457;142
458;140
459;139
460;130
461;123
462;118
463;114
464;106
465;91
466;86
467;77
468;78
469;79
470;82
471;88
472;99
473;103
474;114
475;123
476;134
477;140
478;142
479;134
480;129
481;122
482;118
483;116
484;101
485;90
486;78
487;79
488;76
489;78
490;83
491;90
492;100
493;111
494;117
495;127
496;136
497;140
498;137
499;129
500;124
501;120
502;116
503;104
504;92
505;83
506;79
507;77
508;78
509;81
510;88
511;99
512;102
513;112
514;120
515;131
516;138
517;139
518;131
