var,type,effect,ci_lo,ci_hi,n1,n0,abs_effect
Form der Fahrradnutzung_Beides,binary,3.950000000000017,-0.19999999999998863,5.550000000000011,6.0,14.0,3.950000000000017
Gefühl Sitzposition_Kein Unterschied,binary,3.5,-0.20000000000000284,5.1000000000000085,9.0,11.0,3.5
Methode bekannt_keine,binary,3.5,0.0,4.800000000000011,5.0,15.0,3.5
Gefühl Sitzposition_Etwas schlechter,binary,-3.3000000000000114,-4.600000000000023,1.1999999999999886,9.0,11.0,3.3000000000000114
Methode bekannt_Hüfte,binary,-1.6000000000000227,-6.099999999999994,,3.0,17.0,1.6000000000000227
Nutzung Methode_Augenmaß / Gefühl,binary,1.5499999999999972,0.5999999999999943,4.900000000000006,16.0,4.0,1.5499999999999972
Fahrradtyp_City/Commuter,binary,1.0,-1.1999999999999886,4.800000000000011,11.0,9.0,1.0
Form der Fahrradnutzung_Sport / Training,binary,-0.8000000000000114,-4.5,,3.0,17.0,0.8000000000000114
Geschlecht_weiblich,binary,0.7000000000000028,-3.90000000000002,3.8499999999999943,6.0,14.0,0.7000000000000028
Geschlecht_männlich,binary,-0.7000000000000028,-3.8499999999999943,3.950000000000017,14.0,6.0,0.7000000000000028
Methode bekannt_Kniewinkel,binary,0.6000000000000227,-3.299999999999983,4.800000000000011,7.0,13.0,0.6000000000000227
Form der Fahrradnutzung_Reines Fortbewegungsmittel,binary,-0.6000000000000227,-5.1000000000000085,1.7499999999999858,9.0,11.0,0.6000000000000227
Dauer aktives Radfahren,continuous,0.4705471620036419,0.03197647396955397,0.7755902564669598,,,0.4705471620036419
Fahrradtyp_Gravelbike,binary,0.45000000000000284,-3.6999999999999886,1.6000000000000227,4.0,16.0,0.45000000000000284
Nutzung Methode_Fersenmethode,binary,0.45000000000000284,-3.25,5.700000000000017,8.0,12.0,0.45000000000000284
Methode bekannt_Fersenmethode,binary,0.45000000000000284,-3.25,5.700000000000017,8.0,12.0,0.45000000000000284
Form der Fahrradnutzung_Gelegentlich/Kein regelmäßiges Fahren,binary,-0.4000000000000057,-3.799999999999997,,3.0,17.0,0.4000000000000057
Fahrradtyp_Moutainbike,binary,-0.4000000000000057,-3.6500000000000057,4.5,7.0,13.0,0.4000000000000057
km/Woche_Code,continuous,0.3679230398949169,-0.06051054111346298,0.7027443066772114,,,0.3679230398949169
Methode bekannt_Formeln / Berechnung nach Beinlänge,binary,0.29999999999998295,-3.6999999999999886,4.599999999999994,5.0,15.0,0.29999999999998295
n_Methods_used,continuous,0.2948740215011873,-0.22835405198533393,0.6867384017558174,,,0.2948740215011873
Alter,continuous,0.28083550290755954,-0.20457954652597832,0.6656523057875822,,,0.28083550290755954
Häufigkeit / Woche,continuous,0.22287475520716363,-0.22147699119071612,0.6187250492058035,,,0.22287475520716363
Zuverlässigkeit,continuous,0.15850321538941411,-0.3674056656365286,0.6628704128801493,,,0.15850321538941411
Längerer Zeitraum,continuous,0.1571113392214702,-0.3040615643744701,0.552315925365539,,,0.1571113392214702
Sitzhöhe,continuous,0.1443106386580272,-0.3423896515591716,0.5759790979222948,,,0.1443106386580272
Ben. Zeit,continuous,0.11583302812384912,-0.37225170583775596,0.543939393939394,,,0.11583302812384912
Beininnenlänge,continuous,0.09943509172659418,-0.4274239795817619,0.5383472058846029,,,0.09943509172659418
Größe,continuous,0.07608291109383343,-0.4235742669618841,0.5203840109735156,,,0.07608291109383343
Fahrradtyp_Rennard,binary,0.04999999999999716,-3.5,5.400000000000006,4.0,16.0,0.04999999999999716
Dauer Satteleinst.,continuous,-0.04914644925897263,-0.4679567289022068,0.4144984477142649,,,0.04914644925897263
n_Methods_known,continuous,-0.04346491812515123,-0.49106152441276824,0.40068815570733124,,,0.04346491812515123
Sitzhoehe_rel,continuous,0.027077850730250444,-0.4914288923618304,0.49124143183549124,,,0.027077850730250444
Veränderungsimpuls,continuous,-0.02070123659079964,-0.47534110577819616,0.4686756462810174,,,0.02070123659079964
