var,type,effect,ci_lo,ci_hi,n1,n0,abs_effect
Gefühl Sitzposition_Etwas schlechter,binary,-5.694366488327745,-9.132688824476546,-0.7951739987030209,9.0,11.0,5.694366488327745
Fahrradtyp_Gravelbike,binary,-5.172836815784947,-9.53863506794741,0.49843344542969703,4.0,16.0,5.172836815784947
Form der Fahrradnutzung_Gelegentlich/Kein regelmäßiges Fahren,binary,5.0180340055113675,0.8539161647139082,,3.0,17.0,5.0180340055113675
Gefühl Sitzposition_Kein Unterschied,binary,4.861871931788102,-1.6962928721857509,8.01137588315369,9.0,11.0,4.861871931788102
Methode bekannt_Formeln / Berechnung nach Beinlänge,binary,-4.0852747313576,-8.587718423824754,3.3325666839492953,5.0,15.0,4.0852747313576
Form der Fahrradnutzung_Sport / Training,binary,-3.928499385597121,-8.763380550164968,,3.0,17.0,3.928499385597121
Nutzung Methode_Fersenmethode,binary,-3.488325220484853,-8.587718423824754,3.5924736904973997,8.0,12.0,3.488325220484853
Methode bekannt_Fersenmethode,binary,-3.488325220484853,-8.587718423824754,3.5924736904973997,8.0,12.0,3.488325220484853
Form der Fahrradnutzung_Beides,binary,-2.7314326607975516,-7.6505663670616,5.702816298501503,6.0,14.0,2.7314326607975516
Fahrradtyp_City/Commuter,binary,-2.392942264182409,-5.843250820673077,4.794583505614156,11.0,9.0,2.392942264182409
Methode bekannt_Hüfte,binary,2.392942264182409,-3.9294432211847834,,3.0,17.0,2.392942264182409
Methode bekannt_Kniewinkel,binary,-2.3617998043784496,-7.547794918580948,4.521916396312278,7.0,13.0,2.3617998043784496
Fahrradtyp_Rennard,binary,-2.0121159908951824,-8.677703823491669,2.9951206424369445,4.0,16.0,2.0121159908951824
Nutzung Methode_Augenmaß / Gefühl,binary,-1.980062182542369,-6.642170293231771,7.078868954864873,16.0,4.0,1.980062182542369
Methode bekannt_keine,binary,1.4255603150139677,-3.726618040150967,8.560536369031354,5.0,15.0,1.4255603150139677
Geschlecht_männlich,binary,1.2114212769728425,-6.194693868873344,5.9732043239471295,14.0,6.0,1.2114212769728425
Geschlecht_weiblich,binary,-1.2114212769728425,-5.954273494875849,6.194693868873344,6.0,14.0,1.2114212769728425
Fahrradtyp_Moutainbike,binary,0.9271268695842707,-5.470936871378555,6.893274269716102,7.0,13.0,0.9271268695842707
Häufigkeit / Woche,continuous,-0.4988993966738035,-0.7736318980044612,-0.11540658849678916,,,0.4988993966738035
Zuverlässigkeit,continuous,0.4605123817975473,0.009135950075279533,0.7793627262963628,,,0.4605123817975473
n_Methods_used,continuous,-0.4493340636595464,-0.8123569730948523,0.03543652426770547,,,0.4493340636595464
km/Woche_Code,continuous,-0.3995050554319238,-0.7539223114615269,0.07715772006982871,,,0.3995050554319238
Längerer Zeitraum,continuous,0.3544339975885729,-0.08237640674755091,0.7721846071962087,,,0.3544339975885729
n_Methods_known,continuous,-0.34515223017836344,-0.7297449021841077,0.15147212549351757,,,0.34515223017836344
Dauer Satteleinst.,continuous,-0.3438957877317876,-0.7485544456334599,0.12066874425142951,,,0.3438957877317876
Veränderungsimpuls,continuous,-0.33339451584495017,-0.6873310685890219,0.09847615166908406,,,0.33339451584495017
Ben. Zeit,continuous,-0.08421052631578946,-0.4954268292682926,0.3748103186646434,,,0.08421052631578946
Dauer aktives Radfahren,continuous,-0.06266569694825745,-0.545220632977223,0.4240922250337664,,,0.06266569694825745
Form der Fahrradnutzung_Reines Fortbewegungsmittel,binary,-0.06104274956723543,-5.093848780507344,6.260398900212294,9.0,11.0,0.06104274956723543
Sitzhoehe_rel,continuous,-0.004511278195488721,-0.44613050075872535,0.40916030534351144,,,0.004511278195488721
